#Name	ID	GM	Radius(km)	inertia	k2	k2r	td	J2	C21	C22	S21	S22	TidalDelayFactor	Geopotential	Ring	x	y	z	vx	vy	vz	alpha	delta	w	period(h)	xx	xy	xz	zx	zy	zz	wx	wy	wz
Moon	301	4.902800118457551E12	1737.4	3.930476709582674E-1	2.13861260182622E-2	2.13861260182622E-2	1.832404170561376E4	2.03451094789279E-4	-1.116067204544869E-7	2.24359421874449E-5	-1.287698774155545E-9	2.098912051376503E-8	1	1	0	-2.785834886828941E10	1.440040417804872E11	6.652186473628534E7	-2.91414161097004E4	-6.213103678356363E3	-1.148803197889393E1	266.85738161 	65.64481370 	41.19443882 	655.65546082 	7.842403889940365E-1	6.19855643943252E-1	2.731287136460341E-2	-2.260801305569865E-2	-1.544313671707783E-2	9.99625123370763E-1	-5.888876482133936E-8	-4.106581348953585E-8	2.660992676892348E-6
Phobos	401	7.13178918576234E5	11.32	0.362079	0	0	0	1.05657E-1	0	1.47535E-2	0	6.35678E-5	1	0	0	2.069784443553765E11	-2.434615181626159E9	-5.124868741051019E9	3.015190900334279E3	2.583861865696944E4	-3.950204256688439E2	318.01287433 	53.94540922 	35.10735172 	7.50633800 	2.033549367359631E-1	9.77511887553825E-1	-5.583260155205743E-2	4.37463201260289E-1	-3.969521007228377E-2	8.98359748564247E-1	1.01105798386886E-4	-9.17520044860642E-6	2.076247508326192E-4
Deimos	402	9.615569648120313E4	6.2	0.36	0	0	0	7.99289E-2	0	2.30862E-2	0	-6.46941E-6	1	0	0	2.069907981262001E11	-2.445324120029627E9	-5.131958004276859E9	2.212909375839417E3	2.698591157248272E4	2.245502446056661E1	319.03713844 	52.46338546 	77.44892330 	30.29849238 	-4.41883000020747E-1	8.52759986603518E-1	2.784597269635818E-1	4.600087193348045E-1	-5.109141456802945E-2	8.86443255653395E-1	2.647373401818091E-5	-2.940104569392638E-6	5.101457610871495E-5
Io	501	5.959915466180539E12	1821.6	0.37824	0.45	0.45	0	1.839144692775667E-3	6.013289187275288E-8	5.543730388839723E-4	-7.776659606834793E-11	-9.94532814044522E-6	1	0	0	5.978996322270731E11	4.393156715259319E11	-1.51853366555969E10	-1.329763037812823E4	2.767781233330289E4	6.361338988680136E2	267.95699493 	64.52057958 	200.47412214 	42.45931968 	-9.4755516234543E-1	-3.185502921646956E-1	-2.578615276290287E-2	-1.526070040172953E-2	-3.549375082131607E-2	9.99253373612461E-1	-6.273144373451057E-7	-1.4588184274417E-6	4.107146944789064E-5
Europa	502	3.202712099607295E12	1560.8	0.346	0.3	0.3	0	4.39974692775488E-4	9.25584218429398E-8	1.325072175439072E-4	-2.8965957526524E-9	-7.491870471767193E-6	1	0	0	5.969386734596958E11	4.388303917521267E11	-1.521395398275855E10	-4.382535707159293E2	-5.451080210684135E2	-8.65866684176086E1	268.03980652 	64.96124602 	36.05873296 	85.22881818 	8.26697058914195E-1	5.620060729796084E-1	2.685417503220415E-2	-1.441737396602703E-2	-2.655329576450595E-2	9.99543426676384E-1	-2.952321797252582E-7	-5.437285609961787E-7	2.046757859215801E-5
Ganymede	503	9.887832752719638E12	2634.1	0.3115	0.5	0.5	0	1.331985238910555E-4	2.749411604073305E-8	3.976960188437909E-5	-1.193152440160719E-9	-3.492651393741073E-6	1	0	0	5.966785728577158E11	4.385010159694557E11	-1.523055768677486E10	-9.12910731272726E2	2.805854032488588E3	-9.96438652533401E1	268.50683687 	64.43615140 	43.78699158 	171.70912251 	7.377356347097105E-1	6.742848403185082E-1	3.295584009101471E-2	-1.045432143199571E-2	-3.740030000112213E-2	9.99245677860666E-1	-1.06237761359175E-7	-3.801378476895204E-7	1.015678736374675E-5
Callisto	504	7.179283402579837E12	2410.3	0.3549	0.3	0.3	0	3.646077965470367E-5	7.58145931796972E-10	9.99174981851898E-6	-1.136083700719079E-9	3.82993476948505E-7	1	0	0	5.978249976930955E11	4.41038664810457E11	-1.513124512240641E10	-1.597352006983896E4	1.262412164454912E4	7.226661102912226E1	268.21959237 	64.68209528 	259.96172108 	400.53611372 	-2.020313736766169E-1	-9.78764351449288E-1	-3.469392428647444E-2	-1.336153876875285E-2	-3.266655502829451E-2	9.99376988660593E-1	-5.823181818201061E-8	-1.423397853914575E-7	4.354755067437446E-6
Amalthea	505	1.645634534798259E8	83.5	0.36	0	0	0	1.376104270963797E-1	5.742686171107763E-8	5.566273283219535E-2	2.70823080794027E-8	9.02182352625832E-6	1	0	0	5.976124738273432E11	4.393279165455223E11	-1.518838143037556E10	-2.871020387445914E4	2.760153592595342E4	3.028475921837148E2	267.25084387 	64.38667058 	232.39252231 	11.95613227 	-6.298380451758319E-1	-7.755875136242821E-1	-4.204813383721313E-2	-2.103980495101335E-2	-3.707929034268647E-2	9.99090813107251E-1	-3.11400418728821E-6	-5.478080541984683E-6	1.477073631269347E-4
Himalia	506	1.515524299611265E8	69.8	0.36	0	0	0	0.0979	0	0.029	0	0	1	0	0	5.925799715224025E11	4.481251390136008E11	-1.034409123846132E10	-1.071967301344273E4	9.69343736880189E3	1.242526114214558E3	268.06 	64.50 	0.00 	7.78 									
Elara	507	2.17E7	43	0.36	0	0	0	0.0672	0	0.020	0	0	1	0	0	5.916105753975112E11	4.334460678685155E11	-1.096888875964946E10	-5.17229877442047E3	8.2130334964767E3	-6.313424371016988E2	268.06 	64.50 	0.00 	12.00 									
